"Step","Group: Exp1a - train_loss","Group: Exp1a - train_loss__MIN","Group: Exp1a - train_loss__MAX"
"0","0.8477589786052704","0.8031626343727112","0.8923553228378296"
"1","0.8346178531646729","0.793793797492981","0.8754419088363647"
"2","0.8265433609485626","0.791903555393219","0.8611831665039062"
"3","0.8137497007846832","0.7832232117652893","0.8442761898040771"
"4","0.8079138696193695","0.7738920450210571","0.8419356942176819"
"5","0.8059223890304565","0.773045003414154","0.838799774646759"
"6","0.8025078177452087","0.773272693157196","0.8317429423332214"
"7","0.7976093590259552","0.7710937261581421","0.8241249918937683"
"8","0.7917323112487793","0.7660136222839355","0.817451000213623"
"9","0.7827269732952118","0.7571661472320557","0.8082877993583679"
"10","0.7785153985023499","0.7508094310760498","0.8062213659286499"
"11","0.772938072681427","0.7435265183448792","0.8023496270179749"
"12","0.7673861682415009","0.7346860766410828","0.800086259841919"
"13","0.7614187598228455","0.7266518473625183","0.7961856722831726"
"14","0.7557967901229858","0.7195711135864258","0.7920224666595459"
"15","0.7484428584575653","0.7098148465156555","0.7870708703994751"
"16","0.7412649691104889","0.7015276551246643","0.7810022830963135"
"17","0.7365167438983917","0.6950578093528748","0.7779756784439087"
"18","0.7303593158721924","0.6881982088088989","0.7725204229354858"
"19","0.7243399024009705","0.6801478862762451","0.7685319185256958"
"20","0.7214831113815308","0.6782577633857727","0.7647084593772888"
"21","0.7200747132301331","0.6796390414237976","0.7605103850364685"
"22","0.7163279950618744","0.6747537851333618","0.757902204990387"
"23","0.7106930017471313","0.668598473072052","0.7527875304222107"
"24","0.7067003846168518","0.6664910912513733","0.7469096779823303"
"25","0.7043517529964447","0.6640888452529907","0.7446146607398987"
"26","0.6970653235912323","0.6561257839202881","0.7380048632621765"
"27","0.6932254731655121","0.6522537469863892","0.734197199344635"
"28","0.6893264949321747","0.6474817991256714","0.731171190738678"
"29","0.6897123456001282","0.6481754779815674","0.731249213218689"
"30","0.6866046488285065","0.6459020376205444","0.7273072600364685"
"31","0.6842696368694305","0.6434388160705566","0.7251004576683044"
"32","0.6818812489509583","0.6400412321090698","0.7237212657928467"
"33","0.6794452369213104","0.638188898563385","0.7207015752792358"
"34","0.6765713393688202","0.6359336376190186","0.7172090411186218"
"35","0.6735861301422119","0.6329260468482971","0.7142462134361267"
"36","0.6713323593139648","0.630186915397644","0.7124778032302856"
"37","0.6703686118125916","0.6291014552116394","0.7116357684135437"
"38","0.6678827404975891","0.6266518831253052","0.709113597869873"
"39","0.6668875813484192","0.6256645321846008","0.7081106305122375"
"40","0.6665449440479279","0.6248803734779358","0.7082095146179199"
"41","0.6640437245368958","0.6223514676094055","0.705735981464386"
"42","0.6631597578525543","0.620866060256958","0.7054534554481506"
"43","0.660855770111084","0.6180546283721924","0.7036569118499756"
"44","0.6582981050014496","0.6153644919395447","0.7012317180633545"
"45","0.6559583246707916","0.6126763820648193","0.6992402672767639"
"46","0.653456300497055","0.6101238131523132","0.6967887878417969"
"47","0.6522629857063293","0.6081215739250183","0.6964043974876404"
"48","0.6496122181415558","0.6045874953269958","0.6946369409561157"
"49","0.6475570797920227","0.6025179624557495","0.6925961971282959"
"50","0.6466998159885406","0.600562572479248","0.6928370594978333"
"51","0.6433500349521637","0.5974926352500916","0.6892074346542358"
